odor,stimlat,stimdur,extratime,offset,fp
paraffin-oil,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
paraffin-oil,7,1,1,0.5,0.42966
paraffin-oil,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
paraffin-oil,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
paraffin-oil,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
2-heptanone,7,1,1,0.5,0.42966
ethyloctanoate,7,1,1,0.5,0.42966
ethyl-lactate,7,1,1,0.5,0.42966
pentyl-acetate,7,1,1,0.5,0.42966
diethyl-succinate,7,1,1,0.5,0.42966
methyloctanoate,7,1,1,0.5,0.42966
paraffin-oil,7,1,1,0.5,0.42966
