sigpvals1,sigpvals2,sigpvals3,sigpvals4,sigpvals5,sigpvals6,sigpvals7,sigpvals8,sigpvals9,sigpvals10,sigpvals11,sigpvals12,sigpvals13,sigpvals14,sigpvals15,sigpvals16,sigpvals17,sigpvals18,sigpvals19,sigpvals20,sigpvals21,sigpvals22,sigpvals23,sigpvals24,sigpvals25,sigpvals26,sigpvals27,sigpvals28,sigpvals29,sigpvals30,sigpvals31,sigpvals32,sigpvals33,sigpvals34,sigpvals35,sigpvals36,sigpvals37,sigpvals38,sigpvals39,sigpvals40,sigpvals41,sigpvals42,sigpvals43,sigpvals44,sigpvals45,sigpvals46,sigpvals47,sigpvals48,sigpvals49,sigpvals50,sigpvals51,sigpvals52,sigpvals53,sigpvals54,sigpvals55,sigpvals56,sigpvals57,sigpvals58,sigpvals59,sigpvals60,sigpvals61,sigpvals62,sigpvals63,sigpvals64,sigpvals65,sigpvals66,sigpvals67,sigpvals68,sigpvals69,sigpvals70,sigpvals71,sigpvals72,sigpvals73,sigpvals74,sigpvals75,sigpvals76,sigpvals77,sigpvals78,sigpvals79,sigpvals80,sigpvals81,sigpvals82,sigpvals83,sigpvals84,sigpvals85,sigpvals86,sigpvals87,sigpvals88,sigpvals89,sigpvals90,sigpvals91,sigpvals92,sigpvals93,sigpvals94,sigpvals95,sigpvals96,sigpvals97,sigpvals98,sigpvals99,sigpvals100,sigpvals101,sigpvals102,sigpvals103,sigpvals104,sigpvals105,sigpvals106,sigpvals107,sigpvals108,sigpvals109,sigpvals110,sigpvals111,sigpvals112,sigpvals113,sigpvals114,sigpvals115,sigpvals116,sigpvals117,sigpvals118,sigpvals119,sigpvals120,sigpvals121,sigpvals122,sigpvals123,sigpvals124
0.080273,0.18693,0.077962,0.073829,0.1647,0.030408,0.023701,0.16576,0.28379,0.21866,0.23288,0.1903,0.46798,1.2212e-15,0,0.00015195,0.23474,0.049092,0.16531,9.7765e-05,0.36968,0.10241,0.37145,0.026225,0.26997,0.44752,0.14814,0.050746,0.17285,0.11509,0.26097,0.035372,0.39776,0.19977,0.089062,0.035104,0.11923,0.070166,0.057502,0.078418,0.5614,0.27386,0.0016952,0.080878,0.0392,0.52451,0.041209,0.043893,0.28565,0.47463,0.24085,0.041193,0.031397,0.15187,0.35457,0.15158,0.026775,0.0024443,0.41879,0.35696,0.52023,0.114,0.060441,0.50629,0.14742,0.060945,0.031076,0.13694,0.16512,0.067144,0,0.016195,0.33233,0.006008,0.47823,0.093624,0.48499,0.61585,0.15059,0,0.026042,0.22642,0.38419,0.1346,0.16256,0.10824,0.26607,0.15932,0.29044,0.21339,0.57391,0.085418,0.096596,0.15514,0.18963,0.074041,0.18859,0.43827,0.043006,0.1558,0.43902,0.44246,0.34645,0.27851,0.6832,0.27417,0.1007,1.8872e-05,0.2215,0.23206,0.050053,0.28745,0.096871,0.070098,0.021802,0.099633,0.23704,0.12852,0.38962,0.054499,0.15239,0.0048725,0.27186,0.062575
0.123,0.28592,0.0022615,0.0040808,0.058184,0,1.6209e-14,0.068699,0.5927,0.19736,0.085294,0.48716,0.21286,0.086934,6.8287e-07,3.8412e-10,0.50457,2.2204e-16,0.092989,4.0471e-05,1.1102e-16,0.12154,2.3662e-07,0.0073799,0.061014,0.35218,0.075116,0.046977,0.00011248,0.013845,6.0308e-05,8.0604e-06,0.12467,1.1578e-05,0.036643,3.3074e-07,1.2397e-08,0.071356,0.061322,0.3418,0.41782,0.22171,1.1102e-16,0.14462,0.00034691,0.029312,0.3605,1.3063e-07,0.36502,0.16758,0.061103,0.014921,0.089561,0.0050538,0.18945,0.71318,1.455e-05,0.093853,0.0079075,0.0063534,0.28046,0.02012,0.070338,0.15876,1.5199e-06,0.00011877,0.0026009,0.024398,0.082249,0.00055649,0.00073243,0.0012625,0.099694,0.085017,7.4196e-13,1.8988e-06,0.58555,0.014107,0.2897,0,1.4075e-05,0.035414,0.079732,0.57115,0,0.019358,1.5072e-06,0.40399,0.00015668,0.34271,0.4967,0.0060237,0.035132,0.0011562,0.1228,0.0011036,0.074208,0.17898,0.0089507,0.043765,0.00041116,0,0.0038719,0.00097809,0.057796,0.00097612,0.016999,0,3.5527e-15,3.868e-13,5.1922e-09,0.0006917,0.004375,0.027984,0.028017,0.049609,0.26567,7.511e-05,0.040998,0.016928,0.34259,0.046623,0.17324,0.35685
0.27533,0.37685,0.0095549,0.73331,0.15282,2.7174e-10,0.33844,0.19204,0.084855,0.032382,0.11719,0.25228,0.23285,0.0005964,0.12097,0.33034,0.49005,0,0.21819,0.31976,0.51587,0.47992,0.00018221,0.019294,0.19498,0.30981,0.21263,0.07288,0.096106,0.38904,0.020843,0.27221,0.29452,0.035871,0.19011,0.3931,0.11999,0.04131,0.46084,0.44311,0.28543,0.28786,0.0005171,0.30524,0.041628,0.039224,0.12347,0.050788,0.17155,0.27253,0.49951,0.15464,0.00016642,0.19182,0.21836,0.24512,0.16746,0.17141,0.24842,0.27682,0.17149,0.030455,0.050757,0.3329,0.41276,0.31725,0.27389,0.075444,0.30037,0.064597,0.31016,0.63844,0.13583,0.20518,0.07862,0.30766,0.17523,0.22598,0.42807,0.1877,0.26599,0.20737,0.65514,0.11626,2.4425e-15,0.081813,0.0088898,0.2332,0.088979,0.37688,0.067065,0.224,0.19417,0.26962,0.34683,0.021547,0.22806,0.30378,0.35656,0.31908,0.29728,0.14327,0.34159,0.10033,0.39157,0.46392,0.045295,0.0075507,0.37657,0.11674,0.0026295,0.21017,0.25809,0.21201,0.38261,0.015056,0.42579,0.35727,0.26912,0.3291,0.27626,0.26086,0.17491,0.2084
0.16224,0.63299,0.035683,0.23166,0.1064,0.070489,0.046807,0.010026,0.41864,0.41131,0.14367,0.51923,0.57811,4.2971e-06,0.00054657,0.28541,0.36891,7.4363e-05,0.27695,0.0023008,0.095945,0.14925,0.41351,0.060388,0.059412,0.4903,0.063392,0.28187,0.60944,0.0016597,0.044266,0.10002,0.10842,0.0076156,0.028821,0.045897,0.00084939,0.053681,0.48675,0.36243,0.53615,0.32219,1.1239e-05,0.32477,0.045255,0.097803,0.24188,0.037145,0.31833,0.81605,0.10676,0.0043753,0.8112,0.020447,0.69489,0.73787,0.20105,0.19641,0.0017327,0.054083,0.23667,0.00074282,0.083455,0.12323,0.033706,0.0069829,0.11542,0.2526,0.12103,0.00085521,0.0051882,0.11189,0.023494,0.021236,0.10073,0.015061,0.687,0.5292,0.064013,0.29848,0.057489,0.25633,0.12013,0.49028,0.8329,0.191,0.35493,0.45655,0.73016,0.49314,0.29536,0.031957,0.3011,0.10039,0.16145,0.028582,0.038458,0.3371,0.19551,0.11021,0.057208,0.050079,0.03976,0.0018733,0.035575,0.039984,0.042306,0.015995,0.011151,0.017193,0.0040801,0.29405,0.20662,0.083474,0.017202,0.0021402,0.031274,0.021199,0.55116,0.12753,0.036316,0.12762,0.18902,0.52989
0.25413,0.067439,0.14616,0.35005,0.13064,0.033854,0,0,0.39164,0.016301,0.20563,0.016072,1.7097e-14,0,4.1813e-11,0.0026415,0.22395,0.00058226,0.30749,0,0.011739,0.16046,0.12987,0.010414,0.15842,0.2947,0.054402,5.3675e-08,0.0013654,0.015706,0.033815,0.030507,0.079797,0.021949,0.13744,0.016005,0.15891,0.30902,0.091071,0.6774,0.037415,0.38277,1.4178e-05,0.14712,1.682e-05,0.13504,0.21004,0.015688,0.14913,0.54844,0.64566,0.13332,0.3025,0.080172,0.19429,0.59183,0.33493,0.0082121,0.00020284,0.0047119,0.11967,0.0075425,7.0506e-08,0.1186,0.00037987,0.00035449,0.00049061,0.1049,0.011296,0.065815,0,0,0.13958,0.012926,0.025609,0.064011,0.61581,0.25858,0.061361,0,0.00071761,0.015666,0.063824,0.2808,0.0024571,1.2212e-15,0.22978,0.10774,6.9567e-12,0.19534,0.20713,0.0097361,0,0.02759,0.00033907,2.1753e-06,0.16387,0.36779,0.10176,0.12877,0.3115,0.1749,0.33768,0.016015,0.30976,0.04329,0.19807,0.0027207,7.6447e-09,0,0.0048073,0.034169,0.16424,0.00084251,0.0060214,0.07339,0.03249,8.5084e-06,0.00034639,0.32481,0.31687,0.029723,0.23402,0.059903
0.25188,0.25145,0.25447,0.48572,0.22958,0.65346,0.28813,0.46507,0.00081136,0.44733,0.67591,0.068582,0.33223,0.012105,0.001127,0.03869,0.23684,0.14187,0.31267,0,0.013064,0.44111,0.096056,0.21472,0.29811,0.21981,0.45339,0.11946,0.16695,0.00036907,0.90997,0.082661,0.21843,0.17287,0.19765,0.054966,0.091231,0.15264,0.21723,0.13746,0.045004,0.034251,0.21298,0.14915,0.018453,0.49792,0.26428,0.13502,0.12408,0.16464,0.086898,0.42409,0.075418,0.43919,0.13599,0.17265,0.27723,0.026693,0.66133,0.61499,0.22755,0.045871,0.58458,0.11656,0.43473,0.0039627,0.45959,0.34707,0.24326,0.19467,0,0,0.013527,0.40063,0.013376,0.43639,0.20871,0.058905,0.34107,0.75232,0.12051,0.099307,0.43634,0.24148,0.15601,0.27429,0.0087913,0.14449,4.2256e-10,0.096193,0.013682,0.14932,0.28963,0.56272,0.14986,0.096058,0.1429,0.28194,0.34401,0.27194,0.51316,0.15919,0.092167,0.31726,0.78137,0.47475,0.64447,0.037136,0.10552,0.042524,0.12805,0.17763,0.18594,0.49747,0.2534,0.56786,0.5824,0.50773,0.12459,0.29407,0.41913,0.19884,0.54253,0.028725
0.00094933,0.056573,0.2024,0.018885,0.14954,0.71378,0.37152,0.64031,0.023406,0.1393,0.22503,0.031906,0.1697,0.3245,6.5905e-08,0.18351,0.35572,0.20374,0.05581,8.8914e-09,0.076426,0.13529,0.18942,0.088965,0.30621,0.062787,0.096235,0.036493,0.013455,0.30258,0.50775,0.044204,0.67788,0.023608,0.13839,0.046112,0.0010364,0.43791,0.12287,0.0011551,0.09095,0.082726,0.094023,0.23118,0.40491,0.024942,0.01793,0.029324,0.066482,0.010281,0.039391,0.49845,0.022537,0.19011,0.0099075,0.07446,0.3938,0.076877,0.13549,0.40508,0.22571,0.21681,0.056804,0.02119,0.33234,0.0051096,0.1085,0.14242,0.49214,0.084016,0,0.00044375,0.24184,0.028116,0.18173,0.45568,0.063502,0.06402,0.26478,0.1695,0.46378,0.099427,3.4518e-06,0.23657,0.20124,0.10037,0.043516,0.079148,7.8812e-08,0.072204,0.33875,0.18084,0.16446,0.21973,0.23291,0.1522,0.10587,0.17933,0.25062,0.22089,0.37925,0.33528,0.19181,0.51386,0.47029,0.8344,0.41351,7.6937e-09,0.47913,0.19754,0.11546,0.18955,0.50348,0.17152,2.0906e-05,0.6225,0.12903,0.58963,0.24252,0.058193,0.23529,0.2083,0.49438,0.013086
0.057103,0.14625,0.47183,0.159,0.10589,0.21016,0.31112,0.018509,0.054776,0.4301,0.055086,0.26022,0.26551,0.0033692,4.3953e-10,0.055203,0.15888,0.11767,0.55477,0,0.0082266,0.4204,0.47758,0.19979,0.0016284,0.29511,0.43842,0.36389,0.3849,0.017435,0.1324,0.10509,0.039839,0.26472,0.19999,0.29792,0.1367,0.16028,0.31457,0.34705,0.21915,0.27577,0.23426,0.13314,0.12668,0.28825,0.3152,0.22837,0.58507,0.44857,0.34147,0.28442,0.24932,0.087841,0.60089,0.34718,0.10599,0.24213,0.20997,0.16589,0.28605,0.028895,0.10952,0.39032,0.064125,0.20964,0.1882,0.26649,0.040435,0.046704,0,0,0.48811,0.29619,0.00088951,0.09966,0.69797,0.13967,0.18315,0.10064,0.01755,0.30965,0.11207,0.53551,0.19018,0.48758,0.5993,0.63277,0.00035348,0.34601,0.22046,0.067729,0.11133,0.10334,0.25342,0.12511,0.17795,0.034119,0.13693,0.42446,0.015561,0.14597,0.14739,0.18395,0.062152,0.0048926,0.17548,0.0017709,0.017573,0.00321,0.18094,0.085619,0.16514,0.31612,0.034842,0.013088,0.12584,0.027338,0.46313,0.25556,0.36005,0.30059,0.12909,0.069534
0.2768,0.26343,0.025351,0.01352,0.13551,0,0.042268,0.088344,0.070224,0.19846,0.063605,0.34413,0.36396,0.0015754,0,2.7098e-10,0.1684,2.9532e-14,0.0026573,2.1601e-09,8.8482e-07,0.25386,0.00060205,0.026741,0.30747,0.079581,0.10933,2.8244e-07,0.16848,0.2242,0.024885,0.3532,0.027314,0.0012295,0.40922,0.07801,0.0002145,0.29094,0.39126,0.18993,0.05312,0.032093,3.6393e-13,0.3865,0.22749,0.11318,0.11982,0.093822,0.050872,0.25217,0.2994,0.080623,0.27135,0.044513,0.30984,0.50376,0.18461,0.42222,0.31287,0.055286,0.35298,0.046752,0.21882,0.16611,0.0036457,0.012562,0.10188,0.0040415,0.23297,0.007265,7.558e-07,0.00055211,0.064754,0.15307,0.37702,0.02277,0.028328,0.25694,0.16973,0,0.03681,0.054924,0.22021,0.41444,0,0.35815,0.39643,0.27228,0.38376,0.38448,0.3337,0.41068,0.23101,0.29671,0.021116,0.15597,0.12303,0.014066,0.042769,0.12262,0.28377,0,0.045496,0.15492,0.17336,0.14318,0.24185,0,0.011081,0.055235,0,0.20671,0.25599,0.12596,0.22242,0.24231,0.30248,0.02854,0.31195,0.050136,0.29578,0.21499,0.21419,0.42038
0.54232,0.10984,0.33681,0.42065,0.069336,1.4742e-05,0.33142,0.17508,0.056924,0.31249,0.4366,0.29155,0.33271,0.032194,0.049995,0.043443,0.51826,0,0.39859,0,0.34941,0.025708,0.028643,0.24717,0.10642,0.2011,0.19095,0.10597,0.34049,0.42507,0.41298,0.42706,0.1409,7.1647e-07,0.41742,0.33196,1.8468e-06,0.45753,0.2449,0.091481,0.40898,0.32395,0.12597,0.30802,0.23092,0.19944,0.14464,0.23815,0.64974,0.090693,0.33355,0.72945,1.6185e-07,0.22729,0.37602,0.46361,0.39411,0.096084,0.34118,0.63438,0.32796,0.65405,0.254,0.048167,0.50323,0.32377,0.10834,0.68495,0.097676,0.53313,3.7112e-05,0.2002,0.12039,0.48277,0.42487,0.27586,0.048058,0.22015,0.56034,0.019745,0.24881,0.28085,0.3334,0.091272,1.6523e-05,0.25589,0.35659,0.012528,1.1922e-10,0.06028,0.20741,0.12004,0.15249,0.34402,0.25806,0.3695,0.10145,0.2573,0.52328,0.45943,0.25499,0.10244,0.49096,0.59207,0.90314,0.59759,0.29188,1.6253e-05,0.40325,0.21844,0,0.50176,0.38425,0.1511,0.59924,0.00018935,0.18571,0.0030934,0.19713,0.22559,0.20354,0.048288,0.20472,0.15945
